"id","white","black","event","date","side_to_move","critical_move","fen","eval_before_cp","eval_verbal","eval_after_cp","eval_change_cp","piece_by_piece","beginner_u1400","intermediate_1400_2200","advanced_2200plus"
"11","Robert James Fischer","Hector Decio Rossetto","Mar del Plata","1959.04.05","Black","g5","2r2n2/1RP3k1/6pp/p3pp2/P7/1B3P1P/6P1/6K1 b - - 0 35","330","White is winning","439","109","c7 → +0.50; Nf8 → +0.30; Kg7 → +0.30; Kg1 → -0.30; e5 → -0.20; Rb7 → +0.10; f3 → -0.10; Bb3 → +0.10","White is winning. The pawn on c7 is one step from becoming a queen and is helped by a rook, while Black is tied down stopping it. White should keep improving and break through.","White is winning (about +3.3): the c7-passer and the active rook dominate, tying Black to the blockade. White should bring the king up and open a second front. Black is passive with no counterplay.","White is winning (~+3.3): the c7 passer and rook activity weld Black's pieces to blockade duty. The method is king activation plus a second threat to overload the defence. Black has no counterplay."
"12","Robert James Fischer","Hector Decio Rossetto","Mar del Plata","1959.04.05","White","g4","2r2n2/1RP3k1/7p/p3ppp1/P7/1B3P1P/6P1/6K1 w - - 0 36","439","White is winning","323","-116","c7 → +0.50; Nf8 → +0.30; Kg7 → +0.30; Kg1 → -0.30; e5 → -0.20; Rb7 → +0.10; f3 → -0.10; Bb3 → +0.10","White is winning. The strong pawn on c7, one step from becoming a queen and supported by a rook, decides the game while Black's pieces are stuck defending. White should keep pressing.","White is winning (about +4.4): the c7-passer plus the active rook dominate and tie Black down. White brings up the king and opens a second front to convert. Black is reduced to passive defence.","White is winning (~+4.4): a supported c7 passer and superior activity immobilise Black. Conversion is standard — activate the king, create a second weakness, overload the blockade. Black lacks counterplay."
"13","Ratmir Kholmov","Mikhail Tal","?","1949.??.??","White","gxf3","4k2r/Rb3p2/2p1p2p/1q6/2p5/2P2r2/2Q2PPP/5RK1 w k - 0 20","-96","clear advantage for Black","-99995","-99899","Kg1 → +0.30; f7 → -0.10; c6 → +0.10; c4 → -0.10; c3 → -0.10; g2 → +0.10; f2 → +0.10; Bb7 → -0.05","Black is better here, mainly because Black has more material. But the position is sharp: Black's king is stuck in the middle, so there are dangers. It's White's move, and White must be careful not to grab material greedily, because that can backfire badly.","Black is better (about -1.0): a clear material lead, but White has genuine compensation because Black's king is stuck on e8 in the centre. It's White to move, and White should keep making threats against that king rather than cashing in — a greedy capture here can run into a decisive counterattack. If Black gets the king safe, the extra material tells.","Black is better (~-1.0): a material edge partly offset by White's activity against the uncastled e8-king. The position is concrete and double-edged — White (to move) must generate threats rather than grab material, since the greedy capture on f3 actually walks into a forced mating attack. Once Black neutralises the initiative and tucks the king away, the material decides."
"14","Mikhail Tal","Leonov","Riga","1949.??.??","White","Rf4","r1b2qk1/1p2rppn/p3pR1p/3pP2Q/3P4/2PBN2P/PP4P1/R5K1 w - - 6 20","428","White is winning","231","-197","Nh7 → +0.40; Kg8 → -0.30; Kg1 → +0.30; e5 → +0.25; d5 → -0.20; d4 → +0.20; Ne3 → +0.15; Qf8 → +0.10","White is winning. White has launched a strong attack against the black king, with the knight and queen pressing in close, while material is equal. White should keep attacking and bring everything toward the king.","White is winning (about +4.3): with equal material, White has a powerful kingside attack spearheaded by the knight on h7 and the queen on h5. White should keep adding attackers and open lines to the king. Black is tied to defence with no counterplay.","White is winning (~+4.3) on a decisive kingside initiative: the h7-knight and h5-queen, supported by the e5-pawn, generate concrete mating pressure with material level. White keeps pieces on and brings the last reserves to the attack, avoiding trades that don't advance it. Black's defensive resources fall short."
"15","Mikhail Tal","Leonov","Riga","1949.??.??","Black","Be8","r4qk1/1p1brppn/p3p2p/3pP2Q/3P1RN1/2PB3P/PP4P1/R5K1 b - - 9 21","240","large advantage for White","406","166","Nh7 → +0.40; Kg8 → -0.30; Kg1 → +0.30; e5 → +0.25; d5 → -0.20; d4 → +0.20; Qf8 → +0.10; g7 → -0.10","White has a large advantage. White's pieces are aimed at the black king and material is equal, so White is much more dangerous. White should keep building the attack while Black defends.","White is clearly better (about +2.4): equal material, but White's kingside attack — led by the knight on h7 and the queen — gives strong pressure. White should reinforce the attack and pry open the king; Black needs to trade pieces to blunt the initiative.","White holds a large advantage (~+2.4) driven by the kingside build-up (knight on h7, active queen) rather than material. The plan is to bring more force to bear and open the king; Black must seek exchanges to defuse the initiative. White keeps the tension and avoids premature simplification."
"16","Mikhail Tal","Leonov","Riga","1949.??.??","Black","Kxg7","r3bqk1/1pr2pP1/p3p2p/3p3Q/3P1R2/2PB3P/PP4P1/R5K1 b - - 0 24","595","White is winning","711","116","g7 → +0.50; Kg8 → -0.30; Kg1 → +0.30; d5 → -0.20; d4 → +0.20; Qf8 → +0.10; Be8 → +0.10; f7 → -0.10","White is winning. White has a dangerous pawn on g7, one step from becoming a queen, plus an attack on the black king, and White is a pawn up as well. White should keep pressing on both fronts.","White is winning (about +6): up a pawn with a strong g7-passer and an attack on the king. White combines the promotion threat with kingside pressure to break through. Black is overloaded and lost.","White is winning (~+6): an extra pawn, the advanced g7-passer, and an attack on the king combine decisively. Conversion comes from mixing the promotion threat with direct pressure to overload the defence. Black has no counterplay."
"17","Mikhail Tal","Shlomo Giterman","Leningrad","1951.??.??","White","Bxg7+","5B1k/6bp/p3B1p1/6K1/5PP1/8/P3b2P/8 w - - 9 36","287","large advantage for White","108","-179","Kh8 → +0.50; Bf8 → -0.10; Be6 → +0.10; Kg5 → -0.10; h7 → -0.05; Bg7 → -0.05; g6 → +0.05; a6 → -0.05","White has a large advantage in this endgame. White is a pawn up with a very active king and strong bishops, while Black is passive. White should push forward and use the active pieces.","White is clearly better (about +2.9) in the bishop endgame: an extra pawn plus a very active king on g5 and well-placed bishops. White should advance in the centre and kingside, using the king's activity to make progress. Black must stay passive and try to build a blockade.","White is clearly better (~+2.9): up a pawn with a dominant king on g5 and active bishops. The winning plan is to use the king and bishops to open a second front and advance the majority; Black's setup is passive and stretched. Precise technique should convert."
"18","Mikhail Tal","Shlomo Giterman","Leningrad","1951.??.??","Black","a4+","8/8/2b5/p3kPp1/6P1/PK6/4B3/8 b - - 33 60","7","roughly equal","123","116","Ke5 → -0.40; Bc6 → -0.10; f5 → +0.10; Kb3 → -0.10; a3 → +0.05; g5 → +0.00; a5 → +0.00; g4 → +0.00","The endgame is roughly equal. White has an extra pawn, but Black's king is very active in the centre, which makes up for it. Both sides have chances, so careful play is needed.","The position is about level (roughly +0.1): White's extra pawn is balanced by Black's very active, centralised king. Both sides push their trumps — White the extra pawn, Black the king's activity. With accurate play it should be a draw.","The evaluation is balanced (~+0.1): White's extra pawn is neutralised by Black's centralised e5-king, an ideal endgame piece. The struggle is material versus activity; with precise play the result should be a draw. Fine king-and-pawn nuances will decide any winning try."
"19","Mikhail Tal","Shlomo Giterman","Leningrad","1951.??.??","Black","Kf6","8/8/2b5/4kPp1/pK4P1/P7/4B3/8 b - - 1 61","177","large advantage for White","437","260","Ke5 → -0.40; Bc6 → -0.10; f5 → +0.10; Kb4 → -0.10; a4 → -0.05; a3 → +0.05; g5 → +0.00; g4 → +0.00","White has a large advantage in this endgame. White's advanced pawns are dangerous and the king helps push them, which outweighs Black's active king. White should keep advancing the pawns.","White is clearly better (about +1.8) in the endgame: the advanced f-pawn, supported by the king, is more dangerous than Black's active king. White should push the passers with king support; Black must blockade and seek counterplay with king and bishop.","White is clearly better (~+1.8): the passed f-pawn under king escort outweighs Black's centralised king. The winning idea is to advance the passer with support and stretch Black's defenders; Black's practical chance is to blockade and activate the bishop against the pawns. Careful technique required, but White is on top."
"20","Vladimir Sergeevich Saigin","Mikhail Tal","Match for USSR Master title","1954.??.??","White","Qc6","6k1/2qnrp1p/bn1p2p1/1Q1P4/r1p1P3/1pP1B2P/3NBPP1/R4RK1 w - - 5 32","67","slight edge for White","-58","-125","Kg8 → -0.30; Kg1 → +0.30; d5 → +0.25; e4 → +0.20; f7 → -0.10; Ba6 → +0.10; c4 → -0.10; Be3 → +0.10","White is slightly better here. Material is equal and the position is complicated, with chances for both sides. White should develop the pieces to good squares and keep the queen safe.","White has a slight edge (about +0.7): level material and a complex middlegame, with a small pull from White's central space. White should coordinate the pieces and note that the queen on b5 is a touch exposed. Black has active resources and the game is close.","White holds a slight edge (~+0.7): a modest central and space pull in a rich middlegame, nothing decisive. White should consolidate the loose queen on b5 and improve coordination before pressing; Black has enough activity to keep the balance. Accurate handling matters more than the small number."
"21","Vladimir Sergeevich Saigin","Mikhail Tal","Match for USSR Master title","1954.??.??","White","Bd4","6k1/4rp1p/2Pp2p1/8/n1N1P3/1pn1B2P/5PP1/R5K1 w - - 2 38","86","slight edge for White","-52","-138","Kg8 → +0.30; Na4 → +0.30; Kg1 → -0.30; c6 → +0.20; e4 → +0.20; Nc4 → +0.15; f7 → -0.10; Be3 → +0.10","White is slightly better in this endgame. White has an advanced pawn on c6 and active knights, giving a small edge, but Black is holding. White should support the advanced pawn and keep the pieces active.","White has a slight edge (about +0.9) in the endgame: the advanced c6-pawn and active knights give a small pull. White should support the passer and improve the pieces; Black must blockade and generate counterplay. Close, but slightly easier for White.","White holds a slight edge (~+0.9): the advanced c6 passer and active knights provide a small structural pull. White presses by supporting the passer and improving coordination; Black blockades and targets White's loose pawns. Objectively near-balanced, with White marginally more comfortable."
"22","Mikhail Tal","Janis Visockis","URS-chT Juniors","1954.08.??","White","Nd5","r1n1b1k1/p1q3bp/2pn1r2/2B1p1p1/4Pp2/1NNQ1P2/PP2B1PP/1K1R3R w - - 6 21","168","large advantage for White","-21","-189","Kg8 → -0.30; Nc8 → +0.30; Kb1 → +0.30; e5 → -0.20; e4 → +0.20; Nd6 → -0.15; Be8 → +0.10; c6 → +0.10","White is clearly better. With equal material, White's pieces are much more active — one knight has jumped deep into Black's position — and White controls the centre. White should keep the pieces active and increase the pressure.","White is clearly better (about +1.7): equal material, but far superior activity — a knight has infiltrated to c8 and White dominates the centre. White should keep the initiative and open lines; Black must untangle and challenge the active pieces.","White is clearly better (~+1.7): a marked activity and central-space imbalance, highlighted by the knight's infiltration to c8, with material level. White preserves the initiative and converts activity into concrete threats; sharp continuations that keep Black tied down suit the position. Black's defensive task is difficult."
"23","Mikhail Tal","Janis Visockis","URS-chT Juniors","1954.08.??","Black","Bxa8","Q1n3k1/2q2nbp/1pb2r2/4p1p1/4Pp2/1N3P2/PP2B1PP/1KR4R b - - 1 25","-82","slight edge for Black","57","139","Kg8 → -0.30; Nc8 → +0.30; Kb1 → +0.30; Qa8 → -0.20; e5 → -0.20; e4 → +0.20; Bc6 → -0.10; f4 → -0.10","Black is a little better. White's queen has wandered off to the corner on a8 and looks awkward, which gives Black the edge. The position is tricky, so Black should develop and keep the pieces coordinated rather than rush.","Black is slightly better (about -0.8): White's queen is offside on a8 and looks vulnerable, giving Black a pull. Still, it's sharp — Black should improve the pieces and keep control rather than grab greedily, since there are tactical tricks. A small but real edge for Black.","Black holds a slight edge (~-0.8): White's queen is misplaced on a8 and the coordination favours Black. The position is concrete, though — the tempting capture to win the queen is double-edged and shouldn't be played automatically, as it can rebound; Black does better to keep improving and leave the offside queen as White's problem."
"24","Mikhail Tal","Janis Visockis","URS-chT Juniors","1954.08.??","White","axb5","b4b2/2R2n1p/5k2/1p2p1p1/P3Pp2/5P2/1P1N2PP/1K6 w - - 0 34","405","White is winning","296","-109","Kb1 → -0.30; Ba8 → +0.20; Kf6 → -0.20; e5 → -0.20; e4 → +0.20; Bf8 → +0.10; Rc7 → +0.10; f4 → -0.10","White is winning this endgame. White has the two bishops, a rook deep on the 7th rank, and a dangerous pawn on b6 pushing toward promotion, while Black is passive. White should push the pawn and use the active pieces.","White is winning (about +4): the bishop pair, a rook on the seventh (c7), and the passed b6-pawn dominate. White should advance the passer and use the active pieces to create threats. Black is passive and stretched too thin.","White is winning (~+4): bishop pair, a rook on the seventh, and a passed b6-pawn combine for a decisive bind. Conversion is to push the passer while the active pieces open a second front, overloading the defence. Black has no counterplay."
"25","Mikhail Tal","Janis Visockis","URS-chT Juniors","1954.08.??","Black","Ne6","8/7p/RP3k2/2b1p1n1/2N1Pp2/8/1P5P/1K6 b - - 2 40","547","White is winning","852","305","Kb1 → -0.30; Kf6 → -0.20; e5 → -0.20; e4 → +0.20; Nc4 → +0.15; b6 → +0.10; Bc5 → -0.10; f4 → -0.10","White is winning. White is ahead by about a piece in material and has a dangerous pawn on b6 pushing to promote. White should push that pawn and trade pieces to simplify toward the win.","White is winning (about +5.5): up a piece worth of material with a passed b6-pawn in the endgame. White should advance the passer and simplify into a won ending. Black has no counterplay.","White is winning (~+5.5): a clear extra piece plus a passed b6-pawn in the endgame. The technique is to advance the passer and trade down to a trivially won position while avoiding tricks. Black is lost."
